keyword,estimated_intent,category,type,notes,search_volume,kd,cpc_eur,serp_features,priority_score,data_source,orig_cluster_name
zeiterfassung pflege,commercial,cluster_04,body,Branche,629,52,8.36,ads|shopping,12.1,estimated,Zeiterfassung & Disposition
zeiterfassung baustelle,commercial,cluster_04,longtail,Branche,129,31,8.8,ads|shopping,4.2,estimated,Zeiterfassung & Disposition
zeiterfassung kosten,commercial,cluster_04,body,Pricing,219,65,10.8,ads|site-links,3.4,estimated,Zeiterfassung & Disposition
zeiterfassung kostenlos,commercial,cluster_04,longtail,Sparvariante,171,47,10.83,ads|shopping,3.6,estimated,Zeiterfassung & Disposition
zeiterfassung dsgvo,informational,cluster_04,longtail,Compliance,150,30,1.71,featured-snippet|people-also-ask,5.0,estimated,Zeiterfassung & Disposition
zeiterfassung betriebsrat,informational,cluster_04,longtail,Mitbestimmung,14,20,0.62,video,0.7,estimated,Zeiterfassung & Disposition
zeiterfassung manipulationssicher,commercial,cluster_04,longtail,USP,95,48,11.11,shopping|site-links,2.0,estimated,Zeiterfassung & Disposition
clockodo alternative,commercial,cluster_04,longtail,Wettbewerb,17,62,2.27,shopping,0.3,estimated,Zeiterfassung & Disposition
timetac alternative,commercial,cluster_04,longtail,Wettbewerb,13,60,8.65,ads|shopping|site-links,0.2,estimated,Zeiterfassung & Disposition
einsatzplanung excel ablösen,informational,cluster_04,longtail,Migration,195,37,1.3,people-also-ask|video,5.3,estimated,Zeiterfassung & Disposition
disposition optimieren,informational,cluster_04,longtail,Optimierung,31,14,1.8,people-also-ask|video,2.2,estimated,Zeiterfassung & Disposition
factoring zeitarbeit,commercial,cluster_05,head,Hauptbegriff,2219,85,8.96,shopping,26.1,estimated,Liquiditaet & Factoring
zvoove cashlink,commercial,cluster_05,head,Brand,2982,47,5.67,shopping,63.4,estimated,Liquiditaet & Factoring
zvoove cashlink kosten,commercial,cluster_05,longtail,Pricing,104,27,10.01,shopping|site-links,3.9,estimated,Liquiditaet & Factoring
zvoove cashlink erfahrungen,commercial,cluster_05,longtail,Reviews,59,30,8.13,ads,2.0,estimated,Liquiditaet & Factoring
factoring personaldienstleister,commercial,cluster_05,body,Zielgruppe,288,61,10.69,shopping|site-links,4.7,estimated,Liquiditaet & Factoring
factoring zeitarbeitsunternehmen,commercial,cluster_05,longtail,Zielgruppe,101,61,3.35,site-links,1.7,estimated,Liquiditaet & Factoring
factoring kosten zeitarbeit,commercial,cluster_05,longtail,Pricing,170,41,5.81,ads|shopping,4.1,estimated,Liquiditaet & Factoring
factoring vergleich anbieter,commercial,cluster_05,longtail,Vergleich,140,44,11.98,ads,3.2,estimated,Liquiditaet & Factoring
echtes factoring,informational,cluster_05,body,Variante,244,19,0.64,video,12.8,estimated,Liquiditaet & Factoring
unechtes factoring,informational,cluster_05,body,Variante,161,51,0.91,featured-snippet|video,3.2,estimated,Liquiditaet & Factoring
stilles factoring,informational,cluster_05,body,Variante,170,29,1.81,featured-snippet,5.9,estimated,Liquiditaet & Factoring
offenes factoring,informational,cluster_05,body,Variante,296,39,1.22,featured-snippet|video,7.6,estimated,Liquiditaet & Factoring
factoring gebühren,commercial,cluster_05,body,Pricing,222,51,8.92,site-links,4.4,estimated,Liquiditaet & Factoring
factoring zinsen,commercial,cluster_05,body,Pricing,80,59,8.79,shopping|site-links,1.4,estimated,Liquiditaet & Factoring
factoring vorteile zeitarbeit,informational,cluster_05,longtail,Nutzen,163,26,2.15,featured-snippet,6.3,estimated,Liquiditaet & Factoring
factoring nachteile,informational,cluster_05,body,Nutzen,120,46,1.53,people-also-ask,2.6,estimated,Liquiditaet & Factoring
liquidität zeitarbeit,informational,cluster_05,body,Branchenproblem,719,48,2.0,featured-snippet|people-also-ask|video,15.0,estimated,Liquiditaet & Factoring
liquiditätsplanung zeitarbeit,informational,cluster_05,longtail,Methode,16,8,0.69,featured-snippet|people-also-ask|video,2.0,estimated,Liquiditaet & Factoring
liquiditätsengpass vermeiden,informational,cluster_05,longtail,Best Practice,46,16,0.63,people-also-ask|video,2.9,estimated,Liquiditaet & Factoring
working capital zeitarbeit,informational,cluster_05,longtail,Finanzbegriff,84,17,1.68,people-also-ask|video,4.9,estimated,Liquiditaet & Factoring
forderungsmanagement zeitarbeit,commercial,cluster_05,longtail,Aufgabe,70,27,6.56,shopping,2.6,estimated,Liquiditaet & Factoring
forderungsmanagement software,commercial,cluster_05,body,Tool,295,67,10.73,site-links,4.4,estimated,Liquiditaet & Factoring
zahlungsausfall absichern,informational,cluster_05,body,Risiko,769,20,2.27,people-also-ask,38.5,estimated,Liquiditaet & Factoring
zahlungsziele kunden,informational,cluster_05,body,Cashflow,433,53,1.83,featured-snippet,8.2,estimated,Liquiditaet & Factoring
mahnwesen automatisieren,commercial,cluster_05,longtail,Tool,186,29,7.77,site-links,6.4,estimated,Liquiditaet & Factoring
factoring vs kontokorrent,informational,cluster_05,longtail,Vergleich,107,25,2.23,people-also-ask,4.3,estimated,Liquiditaet & Factoring
factoring vs bankkredit,informational,cluster_05,longtail,Vergleich,85,18,1.91,video,4.7,estimated,Liquiditaet & Factoring
fintech zeitarbeit,informational,cluster_05,longtail,Trend,90,26,1.03,featured-snippet|people-also-ask,3.5,estimated,Liquiditaet & Factoring
factoring online beantragen,commercial,cluster_05,longtail,Conversion,164,46,2.67,ads|shopping,3.6,estimated,Liquiditaet & Factoring
factoring online plattform,commercial,cluster_05,longtail,Tool,135,46,7.02,shopping|site-links,2.9,estimated,Liquiditaet & Factoring
factoring sofort liquidität,commercial,cluster_05,longtail,USP,72,42,11.39,ads|shopping,1.7,estimated,Liquiditaet & Factoring
finanzierung zeitarbeitsfirma,informational,cluster_05,body,Bedarf,200,43,1.11,featured-snippet,4.7,estimated,Liquiditaet & Factoring
betriebsmittelkredit zeitarbeit,informational,cluster_05,longtail,Finanzierung,51,30,0.35,people-also-ask,1.7,estimated,Liquiditaet & Factoring
factoring buchen,informational,cluster_05,body,Buchhaltung,799,18,2.27,featured-snippet|people-also-ask,44.4,estimated,Liquiditaet & Factoring
factoring datev,informational,cluster_05,longtail,Integration,110,24,1.95,featured-snippet|people-also-ask,4.6,estimated,Liquiditaet & Factoring
zessionskredit zeitarbeit,informational,cluster_05,longtail,Finanzierung,91,26,0.34,people-also-ask,3.5,estimated,Liquiditaet & Factoring
factoring erlaubnis,informational,cluster_05,body,Recht,671,40,2.28,featured-snippet|people-also-ask|video,16.8,estimated,Liquiditaet & Factoring
factoring kfw,informational,cluster_05,body,Förderung,234,32,1.27,featured-snippet,7.3,estimated,Liquiditaet & Factoring
forderungsverkauf zeitarbeit,commercial,cluster_05,longtail,Synonym,192,50,8.72,shopping|site-links,3.8,estimated,Liquiditaet & Factoring
inkasso zeitarbeit,commercial,cluster_05,body,Service,454,40,5.29,ads|shopping,11.3,estimated,Liquiditaet & Factoring
debitorenmanagement,informational,cluster_05,head,Aufgabe,4929,54,0.77,video,91.3,estimated,Liquiditaet & Factoring
aüg,informational,cluster_06,head,Kürzel,5006,32,1.5,people-also-ask|video,156.4,estimated,AUEG & Rechtssicherheit
arbeitnehmerüberlassungsgesetz,informational,cluster_06,head,Gesetz,2910,40,2.23,featured-snippet|people-also-ask,72.8,estimated,AUEG & Rechtssicherheit
arbeitnehmerüberlassung,informational,cluster_06,head,Begriff,4131,66,2.24,people-also-ask,62.6,estimated,AUEG & Rechtssicherheit
aüg novelle,informational,cluster_06,body,Gesetzesänderung,249,24,0.57,people-also-ask|video,10.4,estimated,AUEG & Rechtssicherheit
aüg 2026,informational,cluster_06,longtail,Aktuell,108,12,0.84,featured-snippet|people-also-ask,9.0,estimated,AUEG & Rechtssicherheit
aüg erlaubnis beantragen,informational,cluster_06,longtail,Verfahren,147,17,1.13,people-also-ask|video,8.6,estimated,AUEG & Rechtssicherheit
aüg erlaubnis kosten,informational,cluster_06,longtail,Pricing,176,32,1.5,featured-snippet|video,5.5,estimated,AUEG & Rechtssicherheit
aüg erlaubnis voraussetzungen,informational,cluster_06,longtail,Anforderungen,105,40,1.37,featured-snippet|people-also-ask,2.6,estimated,AUEG & Rechtssicherheit
aüg erlaubnis verlängern,informational,cluster_06,longtail,Verfahren,134,43,2.13,people-also-ask,3.1,estimated,AUEG & Rechtssicherheit
aüg unbefristete erlaubnis,informational,cluster_06,longtail,Status,113,39,0.94,video,2.9,estimated,AUEG & Rechtssicherheit
equal pay zeitarbeit,informational,cluster_06,head,Begriff,3331,37,1.16,video,90.0,estimated,AUEG & Rechtssicherheit
equal pay nach 9 monaten,informational,cluster_06,longtail,Frist,190,20,0.55,people-also-ask,9.5,estimated,AUEG & Rechtssicherheit
equal pay berechnen,informational,cluster_06,longtail,Wie-Frage,131,8,1.3,video,16.4,estimated,AUEG & Rechtssicherheit
equal pay ausnahmen,informational,cluster_06,longtail,Spezialfall,120,35,1.99,featured-snippet|people-also-ask|video,3.4,estimated,AUEG & Rechtssicherheit
equal treatment zeitarbeit,informational,cluster_06,body,Synonym,594,46,0.73,featured-snippet|people-also-ask,12.9,estimated,AUEG & Rechtssicherheit
höchstüberlassungsdauer,informational,cluster_06,head,Begriff,3959,51,1.87,people-also-ask,77.6,estimated,AUEG & Rechtssicherheit
höchstüberlassungsdauer 18 monate,informational,cluster_06,longtail,Konkret,23,25,2.46,featured-snippet|people-also-ask,0.9,estimated,AUEG & Rechtssicherheit
höchstüberlassungsdauer ausnahmen,informational,cluster_06,longtail,Spezialfall,108,11,2.04,featured-snippet,9.8,estimated,AUEG & Rechtssicherheit
höchstüberlassungsdauer tarifvertrag,informational,cluster_06,longtail,Tarif,152,30,2.11,people-also-ask|video,5.1,estimated,AUEG & Rechtssicherheit
verleihverbot bau,informational,cluster_06,body,Branche,261,47,2.25,featured-snippet|video,5.6,estimated,AUEG & Rechtssicherheit
synchronisationsverbot zeitarbeit,informational,cluster_06,longtail,Verbot,87,43,1.92,featured-snippet,2.0,estimated,AUEG & Rechtssicherheit
kettenüberlassung,informational,cluster_06,body,Verbot,183,41,1.56,people-also-ask|video,4.5,estimated,AUEG & Rechtssicherheit
sanktionen aüg verstoß,informational,cluster_06,longtail,Risiko,165,31,1.92,featured-snippet|people-also-ask,5.3,estimated,AUEG & Rechtssicherheit
zeitarbeit prüfung agentur arbeit,informational,cluster_06,longtail,Audit,175,18,2.04,featured-snippet,9.7,estimated,AUEG & Rechtssicherheit
aüg statistik meldung,informational,cluster_06,longtail,Pflicht,168,26,0.75,featured-snippet|video,6.5,estimated,AUEG & Rechtssicherheit
aüg statistik wann,informational,cluster_06,longtail,Frist,166,34,2.0,featured-snippet|people-also-ask|video,4.9,estimated,AUEG & Rechtssicherheit
zeitarbeit dsgvo,informational,cluster_06,body,Compliance,396,42,1.61,featured-snippet,9.4,estimated,AUEG & Rechtssicherheit
datenschutz personaldienstleister,informational,cluster_06,body,Compliance,718,36,1.47,people-also-ask,19.9,estimated,AUEG & Rechtssicherheit
datenschutz bewerberdaten,informational,cluster_06,longtail,Compliance,41,20,1.81,featured-snippet|video,2.0,estimated,AUEG & Rechtssicherheit
arbeitsvertrag zeitarbeitnehmer muster,informational,cluster_06,longtail,Vorlage,23,41,0.99,people-also-ask|video,0.6,estimated,AUEG & Rechtssicherheit
überlassungsvertrag muster,informational,cluster_06,longtail,Vorlage,131,40,0.5,featured-snippet|video,3.3,estimated,AUEG & Rechtssicherheit
überlassungsvertrag inhalt,informational,cluster_06,longtail,Wissen,175,37,2.5,people-also-ask|video,4.7,estimated,AUEG & Rechtssicherheit
arbeitsschutz zeitarbeit,informational,cluster_06,body,Pflicht,464,37,1.46,people-also-ask,12.5,estimated,AUEG & Rechtssicherheit
arbeitsschutzunterweisung zeitarbeit,informational,cluster_06,longtail,Pflicht,154,39,2.26,people-also-ask|video,3.9,estimated,AUEG & Rechtssicherheit
gefährdungsbeurteilung zeitarbeit,informational,cluster_06,longtail,Pflicht,189,33,0.5,featured-snippet|people-also-ask|video,5.7,estimated,AUEG & Rechtssicherheit
unfallversicherung zeitarbeitnehmer,informational,cluster_06,longtail,Versicherung,37,41,0.82,people-also-ask|video,0.9,estimated,AUEG & Rechtssicherheit
gesundheitsuntersuchung zeitarbeit,informational,cluster_06,longtail,Pflicht,147,29,2.01,people-also-ask,5.1,estimated,AUEG & Rechtssicherheit
mindestlohngesetz zeitarbeit,informational,cluster_06,body,Gesetz,296,30,2.45,people-also-ask|video,9.9,estimated,AUEG & Rechtssicherheit
nachweisgesetz zeitarbeit,informational,cluster_06,longtail,Gesetz,67,35,1.74,people-also-ask|video,1.9,estimated,AUEG & Rechtssicherheit
betriebsrat zeitarbeit,informational,cluster_06,body,Mitbestimmung,353,26,1.24,featured-snippet,13.6,estimated,AUEG & Rechtssicherheit
betriebsrat aüg mitbestimmung,informational,cluster_06,longtail,Mitbestimmung,56,32,1.21,featured-snippet|video,1.8,estimated,AUEG & Rechtssicherheit
zoll prüfung zeitarbeit,informational,cluster_06,longtail,Audit,162,15,0.93,featured-snippet,10.8,estimated,AUEG & Rechtssicherheit
schwarzarbeit zeitarbeit,informational,cluster_06,body,Risiko,188,52,2.24,featured-snippet|people-also-ask,3.6,estimated,AUEG & Rechtssicherheit
scheinselbstständigkeit aüg,informational,cluster_06,longtail,Risiko,25,29,0.35,featured-snippet,0.9,estimated,AUEG & Rechtssicherheit
arbeitnehmerüberlassung werkvertrag abgrenzung,informational,cluster_06,longtail,Wissen,119,30,2.25,featured-snippet|people-also-ask|video,4.0,estimated,AUEG & Rechtssicherheit
zeitarbeit checkliste compliance,informational,cluster_06,longtail,Vorlage,185,30,0.36,featured-snippet,6.2,estimated,AUEG & Rechtssicherheit
digitalisierung personaldienstleistung,informational,cluster_07,head,Trend,4088,32,2.34,people-also-ask,127.8,estimated,Digitalisierung & Cloud in der Personaldienstleistung
digitalisierung zeitarbeit,informational,cluster_07,head,Trend,5645,40,2.1,featured-snippet|video,141.1,estimated,Digitalisierung & Cloud in der Personaldienstleistung
digitalisierungsstrategie zeitarbeit,informational,cluster_07,longtail,Strategie,158,34,2.02,featured-snippet|video,4.6,estimated,Digitalisierung & Cloud in der Personaldienstleistung
cloud software zeitarbeit,commercial,cluster_07,body,Trend Cloud,267,46,2.66,ads|shopping|site-links,5.8,estimated,Digitalisierung & Cloud in der Personaldienstleistung
saas vs on premise zeitarbeit,informational,cluster_07,longtail,Vergleich,149,40,1.09,featured-snippet|people-also-ask,3.7,estimated,Digitalisierung & Cloud in der Personaldienstleistung
on premise zeitarbeit ablösen,informational,cluster_07,longtail,Migration,95,10,0.73,people-also-ask|video,9.5,estimated,Digitalisierung & Cloud in der Personaldienstleistung
papierloses büro zeitarbeit,informational,cluster_07,longtail,Trend,23,25,1.14,featured-snippet,0.9,estimated,Digitalisierung & Cloud in der Personaldienstleistung
papierlose lohnabrechnung,informational,cluster_07,longtail,Trend,30,31,1.08,featured-snippet|people-also-ask,1.0,estimated,Digitalisierung & Cloud in der Personaldienstleistung
e signatur arbeitsvertrag,commercial,cluster_07,longtail,Tool,22,62,11.47,site-links,0.4,estimated,Digitalisierung & Cloud in der Personaldienstleistung
elektronische signatur zeitarbeit,commercial,cluster_07,longtail,Tool,167,64,4.61,site-links,2.6,estimated,Digitalisierung & Cloud in der Personaldienstleistung
digitale personalakte,commercial,cluster_07,body,Tool,526,66,5.88,ads|site-links,8.0,estimated,Digitalisierung & Cloud in der Personaldienstleistung
digitale personalakte zeitarbeit,commercial,cluster_07,longtail,Spezialisierung,15,60,5.09,shopping|site-links,0.2,estimated,Digitalisierung & Cloud in der Personaldienstleistung
zvoove dms,commercial,cluster_07,head,Brand,3902,76,8.61,ads,51.3,estimated,Digitalisierung & Cloud in der Personaldienstleistung
zvoove dms+ funktionen,commercial,cluster_07,longtail,Funktionen,138,63,6.49,site-links,2.2,estimated,Digitalisierung & Cloud in der Personaldienstleistung
dokumentenmanagement personaldienstleister,commercial,cluster_07,longtail,Tool,186,63,2.31,site-links,3.0,estimated,Digitalisierung & Cloud in der Personaldienstleistung
dokumentenmanagement software,commercial,cluster_07,head,Kategorie,5975,59,9.45,ads,101.3,estimated,Digitalisierung & Cloud in der Personaldienstleistung
dms zeitarbeit,commercial,cluster_07,body,Tool,244,37,7.42,site-links,6.6,estimated,Digitalisierung & Cloud in der Personaldienstleistung
revisionssichere archivierung,informational,cluster_07,body,Compliance,681,38,2.3,people-also-ask,17.9,estimated,Digitalisierung & Cloud in der Personaldienstleistung
gobd konforme archivierung,informational,cluster_07,longtail,Compliance,117,29,0.87,video,4.0,estimated,Digitalisierung & Cloud in der Personaldienstleistung
self service portal mitarbeiter,commercial,cluster_07,longtail,Tool,102,32,8.81,site-links,3.2,estimated,Digitalisierung & Cloud in der Personaldienstleistung
mitarbeiter app zeitarbeit,commercial,cluster_07,longtail,App,173,38,2.22,ads|shopping,4.6,estimated,Digitalisierung & Cloud in der Personaldienstleistung
bewerber app,commercial,cluster_07,body,App,439,53,4.25,ads|site-links,8.3,estimated,Digitalisierung & Cloud in der Personaldienstleistung
zeitarbeit prozesse digitalisieren,informational,cluster_07,longtail,Beratung,85,42,0.48,featured-snippet|people-also-ask,2.0,estimated,Digitalisierung & Cloud in der Personaldienstleistung
prozessautomatisierung personaldienstleister,informational,cluster_07,longtail,Trend,55,24,0.8,featured-snippet|people-also-ask,2.3,estimated,Digitalisierung & Cloud in der Personaldienstleistung
workflow automatisierung zeitarbeit,commercial,cluster_07,longtail,Tool,97,37,2.09,shopping,2.6,estimated,Digitalisierung & Cloud in der Personaldienstleistung
api personaldienstleister,informational,cluster_07,body,Integration,170,18,0.42,people-also-ask|video,9.4,estimated,Digitalisierung & Cloud in der Personaldienstleistung
schnittstelle zeitarbeit datev,commercial,cluster_07,longtail,Integration,25,41,5.56,shopping,0.6,estimated,Digitalisierung & Cloud in der Personaldienstleistung
schnittstelle zeitarbeit indeed,commercial,cluster_07,longtail,Integration,74,50,3.54,site-links,1.5,estimated,Digitalisierung & Cloud in der Personaldienstleistung
xml import jobbörse,informational,cluster_07,longtail,Tech,140,35,2.15,people-also-ask|video,4.0,estimated,Digitalisierung & Cloud in der Personaldienstleistung
single sign on zeitarbeit,commercial,cluster_07,longtail,Tech,173,29,7.4,shopping|site-links,6.0,estimated,Digitalisierung & Cloud in der Personaldienstleistung
cloud sicherheit kmu,informational,cluster_07,body,Compliance,446,21,0.78,featured-snippet,21.2,estimated,Digitalisierung & Cloud in der Personaldienstleistung
cloud dsgvo zeitarbeit,informational,cluster_07,longtail,Compliance,169,44,0.44,video,3.8,estimated,Digitalisierung & Cloud in der Personaldienstleistung
serverstandort deutschland software,informational,cluster_07,longtail,Trust,180,30,1.15,featured-snippet,6.0,estimated,Digitalisierung & Cloud in der Personaldienstleistung
zertifizierung iso 27001 software,informational,cluster_07,longtail,Trust,125,8,0.9,featured-snippet,15.6,estimated,Digitalisierung & Cloud in der Personaldienstleistung
backup strategie zeitarbeit,informational,cluster_07,longtail,Tech,10,38,0.4,video,0.3,estimated,Digitalisierung & Cloud in der Personaldienstleistung
remote arbeiten personaldienstleister,informational,cluster_07,longtail,Trend,53,14,1.19,video,3.8,estimated,Digitalisierung & Cloud in der Personaldienstleistung
homeoffice disponent,informational,cluster_07,longtail,Trend,81,27,1.9,featured-snippet,3.0,estimated,Digitalisierung & Cloud in der Personaldienstleistung
mobile crm zeitarbeit,commercial,cluster_07,longtail,Tool,190,65,5.97,shopping|site-links,2.9,estimated,Digitalisierung & Cloud in der Personaldienstleistung
crm zeitarbeit,commercial,cluster_07,head,Tool,1360,81,8.83,shopping|site-links,16.8,estimated,Digitalisierung & Cloud in der Personaldienstleistung
zvoove cockpit,commercial,cluster_07,head,Brand,3418,70,6.71,shopping|site-links,48.8,estimated,Digitalisierung & Cloud in der Personaldienstleistung
zvoove cockpit funktionen,commercial,cluster_07,longtail,Funktionen,165,43,3.13,shopping,3.8,estimated,Digitalisierung & Cloud in der Personaldienstleistung
gebäudedienstleister software,commercial,cluster_08,head,Hauptbegriff,2662,61,8.35,ads|site-links,43.6,estimated,Gebaeudedienstleistung Software
gebäudedienstleistung software,commercial,cluster_08,body,Synonym,615,51,11.53,ads,12.1,estimated,Gebaeudedienstleistung Software
gebäudereinigung software,commercial,cluster_08,head,Branchenfokus,5051,78,8.43,shopping|site-links,64.8,estimated,Gebaeudedienstleistung Software
gebäudereiniger digital,informational,cluster_08,body,Trend,619,16,1.03,people-also-ask|video,38.7,estimated,Gebaeudedienstleistung Software
software für reinigungsfirmen,commercial,cluster_08,longtail,Synonym,73,59,2.73,shopping,1.2,estimated,Gebaeudedienstleistung Software
software gebäudemanagement,commercial,cluster_08,body,Synonym,458,71,2.05,shopping,6.5,estimated,Gebaeudedienstleistung Software
facility management software,commercial,cluster_08,head,Branchenfokus,1493,72,6.03,shopping|site-links,20.7,estimated,Gebaeudedienstleistung Software
facility management kmu,commercial,cluster_08,body,Segment,497,65,2.45,shopping,7.6,estimated,Gebaeudedienstleistung Software
gebäudereinigung digitalisieren,informational,cluster_08,longtail,Trend,178,12,2.23,people-also-ask,14.8,estimated,Gebaeudedienstleistung Software
disposition gebäudereinigung,commercial,cluster_08,body,Funktion,367,35,6.64,site-links,10.5,estimated,Gebaeudedienstleistung Software
einsatzplanung reinigungskräfte,commercial,cluster_08,longtail,Funktion,36,36,5.98,shopping|site-links,1.0,estimated,Gebaeudedienstleistung Software
schichtplan reinigung software,commercial,cluster_08,longtail,Funktion,72,44,7.86,ads,1.6,estimated,Gebaeudedienstleistung Software
qualitätsmanagement gebäudereinigung,informational,cluster_08,body,Branche,172,54,1.75,featured-snippet,3.2,estimated,Gebaeudedienstleistung Software
revierplanung reinigung,informational,cluster_08,longtail,Branche,148,43,1.88,featured-snippet,3.4,estimated,Gebaeudedienstleistung Software
objektkartei reinigung,informational,cluster_08,longtail,Branche,33,46,0.67,featured-snippet|video,0.7,estimated,Gebaeudedienstleistung Software
zeiterfassung reinigungskräfte,commercial,cluster_08,longtail,Tool,31,57,6.17,ads|shopping|site-links,0.5,estimated,Gebaeudedienstleistung Software
mobile zeiterfassung gebäudereinigung,commercial,cluster_08,longtail,Tool,136,30,5.26,shopping,4.5,estimated,Gebaeudedienstleistung Software
nfc zeiterfassung gebäudereinigung,commercial,cluster_08,longtail,Tech,60,45,6.75,site-links,1.3,estimated,Gebaeudedienstleistung Software
qr code zeiterfassung,commercial,cluster_08,body,Tech,102,60,10.12,shopping|site-links,1.7,estimated,Gebaeudedienstleistung Software
gebäudedienstleistung kalkulation,informational,cluster_08,body,Aufgabe,159,25,1.41,featured-snippet|people-also-ask,6.4,estimated,Gebaeudedienstleistung Software
reinigungskalkulation software,commercial,cluster_08,longtail,Tool,196,64,2.84,shopping,3.1,estimated,Gebaeudedienstleistung Software
leistungsverzeichnis reinigung,informational,cluster_08,longtail,Vorlage,88,20,1.42,featured-snippet|people-also-ask,4.4,estimated,Gebaeudedienstleistung Software
reinigungsangebot vorlage,informational,cluster_08,longtail,Vorlage,133,13,1.55,people-also-ask|video,10.2,estimated,Gebaeudedienstleistung Software
glasreinigung kalkulation,informational,cluster_08,longtail,Branche,118,31,1.29,featured-snippet,3.8,estimated,Gebaeudedienstleistung Software
unterhaltsreinigung kalkulation,informational,cluster_08,longtail,Branche,187,27,2.34,people-also-ask,6.9,estimated,Gebaeudedienstleistung Software
sondereinigung software,commercial,cluster_08,longtail,Branche,119,63,2.72,ads|shopping|site-links,1.9,estimated,Gebaeudedienstleistung Software
