keyword,estimated_intent,category,type,notes,search_volume,kd,cpc_eur,serp_features,priority_score,data_source,keyword_clean,orig_cluster_name,hdb,hier10,hier12,hdb_label,hdb_label_de,sub_cluster,sub_x,sub_y
qualifizierung zeitarbeitnehmer,informational,cluster_09,longtail,Strategie,144,41,0.86,featured-snippet,3.5,estimated,qualifizierung zeitarbeitnehmer,HR & Mitarbeiterverwaltung,1,2,2,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),0,3.554206,-10.240275
equal pay ausnahmen,informational,cluster_06,longtail,Spezialfall,120,35,1.99,featured-snippet|people-also-ask|video,3.4,estimated,equal pay ausnahmen,AUEG & Rechtssicherheit,1,3,3,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),2,4.2621884,-6.817786
zeiterfassung kosten,commercial,cluster_04,body,Pricing,219,65,10.8,ads|site-links,3.4,estimated,zeiterfassung kosten,Zeiterfassung & Disposition,1,3,3,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),2,2.3709168,-7.6053696
zeitarbeit politik regulierung,informational,cluster_10,longtail,Politik,71,21,1.77,featured-snippet|video,3.4,estimated,zeitarbeit politik regulierung,Branchentrends & Marktentwicklung,1,3,3,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),3,1.9770299,-8.321036
ki disposition zeitarbeit,informational,cluster_12,longtail,Tech,135,41,2.32,video,3.3,estimated,ki disposition zeitarbeit,KI & Automatisierung im Recruiting,1,1,1,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),3,1.4431419,-10.464118
überlassungsvertrag muster,informational,cluster_06,longtail,Vorlage,131,40,0.5,featured-snippet|video,3.3,estimated,überlassungsvertrag muster,AUEG & Rechtssicherheit,1,3,3,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),1,1.5311095,-6.271018
mindestlohn zeitarbeit 2026,informational,cluster_02,longtail,Aktuell,70,22,0.5,featured-snippet|people-also-ask,3.2,estimated,mindestlohn zeitarbeit 2026,Lohnabrechnung & Payroll,1,3,3,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),0,5.7616143,-6.8191385
feiertagszuschlag zeitarbeit,informational,cluster_02,longtail,Wissensfrage,95,31,2.44,featured-snippet,3.1,estimated,feiertagszuschlag zeitarbeit,Lohnabrechnung & Payroll,1,1,1,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),3,2.54205,-10.160099
aüg erlaubnis verlängern,informational,cluster_06,longtail,Verfahren,134,43,2.13,people-also-ask,3.1,estimated,aüg erlaubnis verlängern,AUEG & Rechtssicherheit,1,3,3,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),1,0.9936431,-6.47042
xing kosten arbeitgeber,informational,cluster_03,body,Pricing,98,34,0.37,people-also-ask|video,2.9,estimated,xing kosten arbeitgeber,Recruiting & Bewerbermanagement,1,3,3,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),2,3.7165613,-6.8727207
liquiditätsengpass vermeiden,informational,cluster_05,longtail,Best Practice,46,16,0.63,people-also-ask|video,2.9,estimated,liquiditätsengpass vermeiden,Liquiditaet & Factoring,1,3,3,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),1,1.2256942,-7.5207953
aüg unbefristete erlaubnis,informational,cluster_06,longtail,Status,113,39,0.94,video,2.9,estimated,aüg unbefristete erlaubnis,AUEG & Rechtssicherheit,1,3,3,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),1,1.1124681,-6.213756
kostenoptimierung zeitarbeit,informational,cluster_11,longtail,Strategie,58,20,0.65,featured-snippet,2.9,estimated,kostenoptimierung zeitarbeit,Kundenreferenzen & ROI,1,3,3,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),2,2.1245153,-8.016795
zeitarbeit pflege markt,informational,cluster_10,longtail,Branche,99,35,0.93,featured-snippet|video,2.8,estimated,zeitarbeit pflege markt,Branchentrends & Marktentwicklung,1,2,2,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),3,2.6908743,-8.977863
zapier zeitarbeit,commercial,cluster_12,longtail,Tool,133,48,8.15,ads|shopping|site-links,2.8,estimated,zapier zeitarbeit,KI & Automatisierung im Recruiting,1,1,1,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),3,0.6320782,-10.363051
ampel zeitarbeit,informational,cluster_10,longtail,Politik,120,43,2.25,video,2.8,estimated,ampel zeitarbeit,Branchentrends & Marktentwicklung,1,1,1,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),3,0.15919188,-10.452575
zuschläge berechnen zeitarbeit,informational,cluster_02,longtail,Wissensfrage,52,19,1.13,featured-snippet,2.7,estimated,zuschläge berechnen zeitarbeit,Lohnabrechnung & Payroll,1,1,1,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),3,0.40346915,-8.596583
generative ai zeitarbeit,informational,cluster_12,longtail,Trend,124,46,0.95,featured-snippet|people-also-ask,2.7,estimated,generative ai zeitarbeit,KI & Automatisierung im Recruiting,1,1,1,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),3,0.57438165,-10.098632
aüg erlaubnis voraussetzungen,informational,cluster_06,longtail,Anforderungen,105,40,1.37,featured-snippet|people-also-ask,2.6,estimated,aüg erlaubnis voraussetzungen,AUEG & Rechtssicherheit,1,3,3,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),1,1.2065011,-6.209914
forderungsmanagement zeitarbeit,commercial,cluster_05,longtail,Aufgabe,70,27,6.56,shopping,2.6,estimated,forderungsmanagement zeitarbeit,Liquiditaet & Factoring,1,1,1,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),3,1.874478,-9.13062
stellenanzeige schalten kosten,commercial,cluster_03,longtail,Pricing,79,36,6.31,ads|shopping,2.2,estimated,stellenanzeige schalten kosten,Recruiting & Bewerbermanagement,1,3,3,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),2,2.7915816,-7.233667
mitarbeiterbindung zeitarbeit,informational,cluster_09,longtail,Strategie,29,13,2.2,featured-snippet,2.2,estimated,mitarbeiterbindung zeitarbeit,HR & Mitarbeiterverwaltung,1,2,2,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),0,4.126149,-9.569711
qualifikationen verwalten zeitarbeit,commercial,cluster_09,longtail,Tool,70,32,7.25,ads|site-links,2.2,estimated,qualifikationen verwalten zeitarbeit,HR & Mitarbeiterverwaltung,1,1,1,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),0,3.059707,-10.410672
zeiterfassungssystem zeitarbeit,commercial,cluster_04,longtail,Spezialisierung,90,44,8.15,ads|shopping|site-links,2.0,estimated,zeiterfassungssystem zeitarbeit,Zeiterfassung & Disposition,1,1,1,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),3,-0.113035806,-9.314894
synchronisationsverbot zeitarbeit,informational,cluster_06,longtail,Verbot,87,43,1.92,featured-snippet,2.0,estimated,synchronisationsverbot zeitarbeit,AUEG & Rechtssicherheit,1,1,1,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),3,-0.55477816,-9.330173
liquiditätsplanung zeitarbeit,informational,cluster_05,longtail,Methode,16,8,0.69,featured-snippet|people-also-ask|video,2.0,estimated,liquiditätsplanung zeitarbeit,Liquiditaet & Factoring,1,3,3,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),1,1.2674309,-7.550127
zeiterfassung manipulationssicher,commercial,cluster_04,longtail,USP,95,48,11.11,shopping|site-links,2.0,estimated,zeiterfassung manipulationssicher,Zeiterfassung & Disposition,1,1,1,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),3,-0.8489538,-9.568857
nachweisgesetz zeitarbeit,informational,cluster_06,longtail,Gesetz,67,35,1.74,people-also-ask|video,1.9,estimated,nachweisgesetz zeitarbeit,AUEG & Rechtssicherheit,1,1,1,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),3,1.5280442,-10.754296
zeiterfassung biometrisch,commercial,cluster_04,longtail,Tech,100,57,10.73,ads|shopping,1.8,estimated,zeiterfassung biometrisch,Zeiterfassung & Disposition,1,1,1,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),3,-1.1552036,-10.02334
zeitarbeit logistik wachstum,informational,cluster_10,longtail,Branche,55,31,1.61,people-also-ask|video,1.8,estimated,zeitarbeit logistik wachstum,Branchentrends & Marktentwicklung,1,1,1,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),3,2.1104534,-9.289637
betriebsmittelkredit zeitarbeit,informational,cluster_05,longtail,Finanzierung,51,30,0.35,people-also-ask,1.7,estimated,betriebsmittelkredit zeitarbeit,Liquiditaet & Factoring,1,2,2,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),2,3.2209582,-8.26348
factoring sofort liquidität,commercial,cluster_05,longtail,USP,72,42,11.39,ads|shopping,1.7,estimated,factoring sofort liquidität,Liquiditaet & Factoring,1,3,3,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),1,1.2220168,-7.5755606
cost per hire berechnen,informational,cluster_03,longtail,KPI,75,44,1.83,featured-snippet,1.7,estimated,cost per hire berechnen,Recruiting & Bewerbermanagement,1,3,3,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),2,3.7006147,-6.8940754
factoring zeitarbeitsunternehmen,commercial,cluster_05,longtail,Zielgruppe,101,61,3.35,site-links,1.7,estimated,factoring zeitarbeitsunternehmen,Liquiditaet & Factoring,1,2,2,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),3,2.6717477,-8.905187
schnittstelle zeitarbeit indeed,commercial,cluster_07,longtail,Integration,74,50,3.54,site-links,1.5,estimated,schnittstelle zeitarbeit indeed,Digitalisierung & Cloud in der Personaldienstleistung,1,1,1,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),3,2.4042416,-9.635629
lohnabrechnung outsourcing kosten,commercial,cluster_02,longtail,Pricing,94,63,4.52,site-links,1.5,estimated,lohnabrechnung outsourcing kosten,Lohnabrechnung & Payroll,1,3,3,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),2,3.459826,-6.9933615
zeitarbeit beschäftigte zahl,informational,cluster_10,longtail,Statistik,21,15,1.38,featured-snippet|people-also-ask,1.4,estimated,zeitarbeit beschäftigte zahl,Branchentrends & Marktentwicklung,1,2,2,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),0,3.769202,-9.2984705
schichtplanung zeitarbeit,commercial,cluster_04,longtail,Spezialisierung,88,64,9.55,ads|shopping,1.4,estimated,schichtplanung zeitarbeit,Zeiterfassung & Disposition,1,1,1,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),3,1.1662472,-9.557041
igz lohntabelle 2026,informational,cluster_02,longtail,Tarif aktuell,38,30,0.73,featured-snippet|people-also-ask,1.3,estimated,igz lohntabelle 2026,Lohnabrechnung & Payroll,1,3,3,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),0,5.6181865,-6.6269903
prosoft zeitarbeit alternative,commercial,cluster_01,longtail,Wettbewerber-Switch,55,45,9.03,ads|shopping|site-links,1.2,estimated,prosoft zeitarbeit alternative,Zeitarbeitssoftware & zvoove One,1,1,1,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),3,0.41443905,-9.716751
arbeitsvertrag zeitarbeit erstellen,informational,cluster_09,longtail,Aufgabe,35,29,1.5,people-also-ask|video,1.2,estimated,arbeitsvertrag zeitarbeit erstellen,HR & Mitarbeiterverwaltung,1,2,2,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),0,4.949304,-8.761943
arbeitszeiterfassung urteil eugh,informational,cluster_04,longtail,Rechtsprechung,41,40,0.97,featured-snippet|people-also-ask,1.0,estimated,arbeitszeiterfassung urteil eugh,Zeiterfassung & Disposition,1,1,1,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),3,1.9128176,-10.1627445
zeitarbeit eu vergleich,informational,cluster_10,longtail,Marktanalyse,32,33,1.79,people-also-ask,1.0,estimated,zeitarbeit eu vergleich,Branchentrends & Marktentwicklung,1,1,1,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),3,0.85935116,-9.012423
höchstüberlassungsdauer 18 monate,informational,cluster_06,longtail,Konkret,23,25,2.46,featured-snippet|people-also-ask,0.9,estimated,höchstüberlassungsdauer 18 monate,AUEG & Rechtssicherheit,1,3,3,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),1,0.79686123,-6.8646173
zeitarbeit umsatz statistik,informational,cluster_10,longtail,Statistik,36,42,1.32,featured-snippet|video,0.9,estimated,zeitarbeit umsatz statistik,Branchentrends & Marktentwicklung,1,1,1,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),3,0.38266185,-8.390764
unfallversicherung zeitarbeitnehmer,informational,cluster_06,longtail,Versicherung,37,41,0.82,people-also-ask|video,0.9,estimated,unfallversicherung zeitarbeitnehmer,AUEG & Rechtssicherheit,1,2,2,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),0,4.4320836,-8.422857
bewerber gewinnen zeitarbeit,informational,cluster_03,longtail,Spezialisierung,16,17,1.23,featured-snippet|video,0.9,estimated,bewerber gewinnen zeitarbeit,Recruiting & Bewerbermanagement,1,2,2,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),0,4.233374,-9.904442
papierloses büro zeitarbeit,informational,cluster_07,longtail,Trend,23,25,1.14,featured-snippet,0.9,estimated,papierloses büro zeitarbeit,Digitalisierung & Cloud in der Personaldienstleistung,1,1,1,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),3,1.6598934,-10.669463
benchmark zeitarbeit kennzahlen,informational,cluster_11,longtail,KPI,33,40,2.25,people-also-ask|video,0.8,estimated,benchmark zeitarbeit kennzahlen,Kundenreferenzen & ROI,1,1,1,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),3,1.3408493,-9.051849
stundenerfassung kunde,informational,cluster_04,longtail,Workflow,21,27,1.67,featured-snippet,0.8,estimated,stundenerfassung kunde,Zeiterfassung & Disposition,1,1,1,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),3,-0.34618354,-9.757824
gesundheitsmanagement zeitarbeit,informational,cluster_09,longtail,Strategie,27,37,1.6,featured-snippet|people-also-ask,0.7,estimated,gesundheitsmanagement zeitarbeit,HR & Mitarbeiterverwaltung,1,1,1,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),3,2.0952716,-8.929213
zeiterfassung betriebsrat,informational,cluster_04,longtail,Mitbestimmung,14,20,0.62,video,0.7,estimated,zeiterfassung betriebsrat,Zeiterfassung & Disposition,1,1,1,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),3,-0.6392881,-9.564765
karriereseite zeitarbeit,informational,cluster_03,longtail,Spezialisierung,11,16,1.84,featured-snippet|people-also-ask,0.7,estimated,karriereseite zeitarbeit,Recruiting & Bewerbermanagement,1,2,2,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),0,3.9808211,-9.692419
zeitarbeit komplettsystem,commercial,cluster_01,longtail,USP,33,51,4.97,ads|site-links,0.6,estimated,zeitarbeit komplettsystem,Zeitarbeitssoftware & zvoove One,1,1,1,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),3,-0.10895794,-9.31407
arbeitsvertrag zeitarbeitnehmer muster,informational,cluster_06,longtail,Vorlage,23,41,0.99,people-also-ask|video,0.6,estimated,arbeitsvertrag zeitarbeitnehmer muster,AUEG & Rechtssicherheit,1,2,2,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),0,4.9656506,-8.668524
time to hire optimieren,informational,cluster_03,longtail,KPI,29,45,1.61,featured-snippet,0.6,estimated,time to hire optimieren,Recruiting & Bewerbermanagement,1,2,2,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),0,3.5402958,-10.245734
schnittstelle zeitarbeit datev,commercial,cluster_07,longtail,Integration,25,41,5.56,shopping,0.6,estimated,schnittstelle zeitarbeit datev,Digitalisierung & Cloud in der Personaldienstleistung,1,1,1,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),3,2.4844391,-9.540732
zeiterfassung reinigungskräfte,commercial,cluster_08,longtail,Tool,31,57,6.17,ads|shopping|site-links,0.5,estimated,zeiterfassung reinigungskräfte,Gebaeudedienstleistung Software,1,1,1,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),3,0.3370515,-9.240504
e signatur arbeitsvertrag,commercial,cluster_07,longtail,Tool,22,62,11.47,site-links,0.4,estimated,e signatur arbeitsvertrag,Digitalisierung & Cloud in der Personaldienstleistung,1,2,2,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),0,5.313582,-8.578671
anwenderbericht zeitarbeit,commercial,cluster_11,longtail,Marketing,17,44,6.85,ads|shopping|site-links,0.4,estimated,anwenderbericht zeitarbeit,Kundenreferenzen & ROI,1,1,1,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),3,-0.08342683,-8.915531
zeiterfassung gps,commercial,cluster_04,longtail,Tech,13,37,6.43,ads|shopping|site-links,0.4,estimated,zeiterfassung gps,Zeiterfassung & Disposition,1,1,1,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),3,-1.2166542,-10.066465
backup strategie zeitarbeit,informational,cluster_07,longtail,Tech,10,38,0.4,video,0.3,estimated,backup strategie zeitarbeit,Digitalisierung & Cloud in der Personaldienstleistung,1,1,1,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),3,0.9584124,-9.379572
clockodo alternative,commercial,cluster_04,longtail,Wettbewerb,17,62,2.27,shopping,0.3,estimated,clockodo alternative,Zeiterfassung & Disposition,1,1,1,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),3,-0.89062995,-9.765078
